year,position,is_in_state,jersey,name,id,bio_url,batting_AVG,batting_OBP,batting_SLG,batting_OPS,batting_RBI,pitching_R,pitching_H,pitching_2B,pitching_3B,pitching_HR,pitching_BB,pitching_SO,batting_AB,batting_SB_successful,batting_SB_attempted,batting_SB,pitching_HBP,hometown,state,WAR,pitching_ERA,pitching_WHIP,pitching_WL,pitching_APP_GS,pitching_CG,pitching_SHO,pitching_SV,pitching_IP,pitching_ER,pitching_BAVG,pitching_WP,pitching_BK,pitching_SFA,pitching_SHA
2016,IF,True,9,"Muno, JJ",174,https://ucsbgauchos.com/sports/baseball/roster/jj-muno/174,0.291,0.368,0.449,0.817,31.0,43,66,15,3,5,11,36,227,17.0,23.0,17-23,18,Sherman Oaks,Calif.,0.17387291999999996,,,,,,,,,,,,,,
2016,IF,True,17,"Fisher, Clay",160,https://ucsbgauchos.com/sports/baseball/roster/clay-fisher/160,0.285,0.332,0.372,0.704,24.0,32,68,14,2,1,15,34,239,14.0,19.0,14-19,3,La Quinta,Calif.,0.14953752000000003,,,,,,,,,,,,,,
2016,C,True,20,"Grover, Dempsey",164,https://ucsbgauchos.com/sports/baseball/roster/dempsey-grover/164,0.272,0.384,0.382,0.766,29.0,38,52,13,1,2,32,45,191,6.0,6.0,6-6,5,Modesto,Calif.,1.0398831466666667,,,,,,,,,,,,,,
2016,IF,True,44,"Bush, Austin",148,https://ucsbgauchos.com/sports/baseball/roster/austin-bush/148,0.27,0.351,0.473,0.824,49.0,32,61,11,1,11,30,56,226,0.0,0.0,0-0,1,Turlock,Calif.,0.16959491999999993,,,,,,,,,,,,,,
2016,OF,True,21,"Calica, Andrew",149,https://ucsbgauchos.com/sports/baseball/roster/andrew-calica/149,0.256,0.429,0.365,0.794,25.0,50,56,8,2,4,45,21,219,18.0,22.0,18-22,23,Chula Vista,Calf.,0.0890965,,,,,,,,,,,,,,
2016,UTIL,True,26,"Fredrick, Billy",161,https://ucsbgauchos.com/sports/baseball/roster/billy-fredrick/161,0.246,0.325,0.312,0.637,19.0,16,34,7,1,0,13,25,138,2.0,2.0,2-2,5,Santa Clarita,Calif.,0.07736003999999999,,,,,,,,,,,,,,
2016,OF,True,25,"Adams, Josh",144,https://ucsbgauchos.com/sports/baseball/roster/josh-adams/144,0.231,0.327,0.371,0.698,27.0,18,33,8,0,4,18,35,143,2.0,4.0,2-4,4,Elk Grove,Calif.,0.028267286666666648,,,,,,,,,,,,,,
2016,OF,True,41,"McAdoo, Michael",172,https://ucsbgauchos.com/sports/baseball/roster/michael-mcadoo/172,0.193,0.309,0.246,0.555,19.0,19,22,4,1,0,16,34,114,3.0,5.0,3-5,5,Antioch,Calif.,0.006255559999999993,,,,,,,,,,,,,,
2016,Unknown,True,,,,,0.5,0.5,1.25,1.75,1.0,1,2,0,0,1,0,0,4,0.0,0.0,0-0,0,Unknown,California,0.0068639999999999994,,,,,,,,,,,,,,
2016,Unknown,True,,,,,0.5,0.5,0.5,1.0,1.0,0,2,0,0,0,0,0,4,0.0,0.0,0-0,0,Unknown,California,0.004344000000000001,,,,,,,,,,,,,,
